name,genre,rating,country,company,isMajor,released,year,runtime,isLong,isShort,score,votes,star,director,budget,gross,budgetReturn
Cop Out,Action,R,USA,Warner Bros.,1,2/26/10,2010,107,0,0,5.6,78157,Bruce Willis,Kevin Smith,37000000,44875481,1.212850838
Step Up 3D,Drama,PG-13,USA,Summit Entertainment,0,8/6/10,2010,107,0,0,6.2,50180,Sharni Vinson,Jon M. Chu,30000000,42400223,1.413340767
The Secret World of Arrietty,Animation,G,Japan,Studio Ghibli,0,2/17/12,2010,94,0,0,7.6,59799,Bridgit Mendler,Hiromasa Yonebayashi,23000000,19202743,0.83490187
Death at a Funeral,Comedy,R,USA,Screen Gems,0,4/16/10,2010,92,0,0,5.7,38627,Chris Rock,Neil LaBute,20000000,42739347,2.13696735
Don't Be Afraid of the Dark,Fantasy,R,USA,Miramax,0,8/26/11,2010,99,0,0,5.6,42545,Katie Holmes,Troy Nixey,25000000,24042490,0.9616996
My Name Is Khan,Adventure,PG-13,India,Dharma Productions,0,2/12/10,2010,165,1,0,8,81130,Shah Rukh Khan,Karan Johar,12000000,4018695,0.33489125
Repo Men,Action,R,USA,Universal Pictures,1,3/19/10,2010,111,0,0,6.3,91561,Jude Law,Miguel Sapochnik,32000000,13794835,0.431088594
Vampires Suck,Adventure,PG-13,USA,Regency Enterprises,0,8/18/10,2010,82,0,0,3.5,41062,Jenn Proske,Jason Friedberg,20000000,36661504,1.8330752
Morning Glory,Comedy,PG-13,USA,Bad Robot,0,11/10/10,2010,100,0,0,6.5,62536,Rachel McAdams,Roger Michell,40000000,31011732,0.7752933
The Company Men,Drama,R,UK,Not specified,0,2/11/11,2010,104,0,0,6.8,38636,Ben Affleck,John Wells,15000000,4439063,0.295937533
I'm Still Here,Comedy,R,USA,They Are Going to Kill Us Productions,0,10/7/11,2010,108,0,0,6.2,17059,Joaquin Phoenix,Casey Affleck,0,408719,inf
Tooth Fairy,Comedy,PG,USA,Twentieth Century Fox Film Corporation,1,1/22/10,2010,101,0,0,5,33336,Dwayne Johnson,Michael Lembeck,48000000,60022256,1.250463667
Stake Land,Drama,R,USA,Glass Eye Pix,0,12/9/11,2010,98,0,0,6.5,36801,Connor Paolo,Jim Mickle,650000,18469,0.028413846
La versión de mi vida,Comedy,R,Italy,Serendipity Point Films,0,2/18/11,2010,134,1,0,7.3,22030,Paul Giamatti,Richard J. Lewis,0,7502560,inf
Secretariat,Biography,PG,USA,Walt Disney Pictures,1,10/8/10,2010,123,1,0,7.2,22288,Diane Lane,Randall Wallace,35000000,59713955,1.706113
Rubber,Comedy,R,France,Realitism Films,0,11/10/10,2010,82,0,0,5.8,28442,Stephen Spinella,Quentin Dupieux,500000,98017,0.196034
Tamara Drewe,Comedy,R,UK,Ruby Films,0,9/10/10,2010,107,0,0,6.2,18147,Gemma Arterton,Stephen Frears,0,560101,inf
You Will Meet a Tall Dark Stranger,Comedy,R,USA,Mediapro,0,10/22/10,2010,100,0,0,6.3,39014,Anthony Hopkins,Woody Allen,22000000,3247816,0.147628
Ip Man 2,Action,R,Hong Kong,Henan Film & TV Production Group Henan Film Studio,0,4/29/10,2010,108,0,0,7.6,78917,Donnie Yen,Wilson Yip,0,205675,inf
The Killer Inside Me,Crime,R,USA,Hero Entertainment,0,12/17/10,2010,109,0,0,6.1,30060,Casey Affleck,Michael Winterbottom,13000000,214966,0.016535846
Gulliver's Travels,Adventure,PG,USA,Twentieth Century Fox Film Corporation,1,12/25/10,2010,85,0,0,4.9,56336,Jack Black,Rob Letterman,112000000,42779261,0.381957688
Little White Lies,Comedy,NOT RATED,France,Les Productions du Trésor,0,10/20/10,2010,134,1,0,7.1,20148,François Cluzet,Guillaume Canet,25000000,206088,0.00824352
MacGruber,Action,R,USA,Broadway Video,0,5/21/10,2010,90,0,0,5.5,37743,Will Forte,Jorma Taccone,10000000,8460995,0.8460995
Paranormal Activity 2,Horror,R,USA,Paramount Pictures,1,10/22/10,2010,91,0,0,5.7,87197,Katie Featherston,Tod Williams,3000000,84752907,28.250969
El último exorcismo,Drama,PG-13,France,Strike Entertainment,0,8/27/10,2010,87,0,0,5.6,43587,Patrick Fabian,Daniel Stamm,1800000,41034350,22.79686111
Stone,Drama,R,USA,Millennium Films,0,10/22/10,2010,105,0,0,5.4,36456,Edward Norton,John Curran,22000000,1796024,0.081637455
Going the Distance,Comedy,R,USA,New Line Cinema,0,9/3/10,2010,100,0,0,6.3,52508,Drew Barrymore,Nanette Burstein,32000000,17804299,0.556384344
Hesher,Comedy,R,USA,"Last Picture Company, The",0,6/25/11,2010,106,0,0,7.1,46153,Joseph Gordon-Levitt,Spencer Susser,7000000,382946,0.054706571
Heartbeats,Drama,NOT RATED,Canada,Mifilifilms,0,2/15/15,2010,101,0,0,7.2,21449,Xavier Dolan,Xavier Dolan,0,62985,inf
Passion Play,Drama,R,USA,Annapurna Productions,0,2011,2010,94,0,0,5,7540,Mickey Rourke,Mitch Glazer,8000000,3669,0.000458625
Easy Money,Action,R,Sweden,Tre Vänner Produktion AB,0,1/15/10,2010,124,1,0,6.7,14513,Joel Kinnaman,Daniel Espinosa,0,188870,inf
Dirty Girl,Comedy,R,USA,The Weinstein Company,0,7/7/11,2010,90,0,0,6.5,9432,Juno Temple,Abe Sylvia,4000000,53630,0.0134075
Conviction,Biography,R,USA,Omega Entertainment,0,11/5/10,2010,107,0,0,7.2,37145,Hilary Swank,Tony Goldwyn,12500000,6783129,0.54265032
Elite Squad: The Enemy Within,Action,UNRATED,Brazil,Globo Filmes,0,10/8/10,2010,115,0,0,8.1,70700,Wagner Moura,José Padilha,0,100119,inf
London Boulevard,Crime,R,USA,GK Films,0,11/26/10,2010,103,0,0,6.2,42460,Colin Farrell,William Monahan,25000000,6911,0.00027644
The Conspirator,Crime,PG-13,USA,"American Film Company, The",0,4/15/11,2010,122,1,0,6.9,25030,Robin Wright,Robert Redford,25000000,11538204,0.46152816
Waiting for Forever,Comedy,PG-13,USA,Catfish Productions,0,2/4/11,2010,100,0,0,6,18609,Rachel Bilson,James Keach,0,25517,inf
The Tempest,Comedy,PG-13,USA,Miramax,0,1/7/11,2010,110,0,0,5.4,6589,Helen Mirren,Julie Taymor,20000000,277943,0.01389715
Cyrus,Comedy,R,USA,Scott Free Productions,0,7/16/10,2010,91,0,0,6.3,31320,John C. Reilly,Jay Duplass,7000000,7455447,1.065063857
Yogi Bear,Animation,PG,USA,Warner Bros.,1,12/17/10,2010,100,0,0,4.6,17533,Dan Aykroyd,Eric Brevig,80000000,100246011,1.253075138
Country Strong,Drama,PG-13,USA,Screen Gems,0,1/7/11,2010,117,0,0,6.3,15478,Garrett Hedlund,Shana Feste,15000000,20218921,1.347928067
The Trip,Comedy,NOT RATED,UK,Baby Cow Productions,0,4/24/11,2010,112,0,0,7,18884,Steve Coogan,Michael Winterbottom,0,2014922,inf
The Perfect Host,Comedy,R,USA,Stacey Testro International,0,5/7/11,2010,100,0,0,6.8,21832,David Hyde Pierce,Nick Tomnay,500000,48430,0.09686
Beyond the Black Rainbow,Sci-Fi,R,Canada,Chromewood Productions,0,4/22/11,2010,110,0,0,6,7662,Eva Bourne,Panos Cosmatos,0,56129,inf
Burke and Hare,Comedy,R,UK,Ealing Studios,0,9/9/11,2010,91,0,0,6.2,17228,Bill Bailey,John Landis,10000000,4833,0.0004833
Meek's Cutoff,Drama,PG,USA,Evenstar Films,0,4/15/11,2010,104,0,0,6.6,9252,Michelle Williams,Kelly Reichardt,0,977600,inf
Kaboom,Comedy,UNRATED,USA,Desperate Pictures,0,10/6/10,2010,86,0,0,5.7,11100,Thomas Dekker,Gregg Araki,0,116478,inf
In a Better World,Drama,R,Denmark,Danmarks Radio (DR),0,12/22/11,2010,100,0,0,7.7,34566,Mikael Persbrandt,Susanne Bier,0,1008098,inf
Love Ranch,Biography,R,USA,Aramid Entertainment Fund,0,1/6/11,2010,100,0,0,5.7,2558,Helen Mirren,Taylor Hackford,25000000,134904,0.00539616
Made in Dagenham,Biography,R,UK,Audley Films,0,6/3/11,2010,113,0,0,7.2,11904,Sally Hawkins,Nigel Cole,7200000,1094798,0.152055278
