name,genre,rating,country,company,isMajor,released,year,runtime,isLong,isShort,score,votes,star,director,budget,gross,budgetReturn
Stand by Me,Adventure,R,USA,Columbia Pictures Corporation,1,8/22/86,1986,89,0,0,8.1,299174,Wil Wheaton,Rob Reiner,8000000,52287414,6.53592675
Ferris Bueller's Day Off,Comedy,PG-13,USA,Paramount Pictures,1,6/11/86,1986,103,0,0,7.8,264740,Matthew Broderick,John Hughes,6000000,70136369,11.68939483
Top Gun,Action,PG,USA,Paramount Pictures,1,5/16/86,1986,110,0,0,6.9,236909,Tom Cruise,Tony Scott,15000000,179800601,11.98670673
Aliens,Action,R,USA,Twentieth Century Fox Film Corporation,1,7/18/86,1986,137,1,0,8.4,540152,Sigourney Weaver,James Cameron,18500000,85160248,4.603256649
Flight of the Navigator,Adventure,PG,USA,Walt Disney Pictures,1,8/1/86,1986,90,0,0,6.9,36636,Joey Cramer,Randal Kleiser,9000000,18564613,2.062734778
Platoon,Drama,R,UK,Hemdale,0,2/6/87,1986,120,0,0,8.1,317585,Charlie Sheen,Oliver Stone,6000000,138530565,23.0884275
Labyrinth,Adventure,PG,UK,Henson Associates (HA),0,6/27/86,1986,101,0,0,7.4,102879,David Bowie,Jim Henson,25000000,12729917,0.50919668
Blue Velvet,Drama,R,USA,De Laurentiis Entertainment Group (DEG),0,10/23/86,1986,120,0,0,7.8,146768,Isabella Rossellini,David Lynch,6000000,8551228,1.425204667
Pretty in Pink,Comedy,PG-13,USA,Paramount Pictures,1,2/28/86,1986,96,0,0,6.8,60565,Molly Ringwald,Howard Deutch,9000000,40471663,4.496851444
The Fly,Drama,R,USA,SLM Production Group,0,8/15/86,1986,96,0,0,7.5,129698,Jeff Goldblum,David Cronenberg,15000000,40456565,2.697104333
Crocodile Dundee,Adventure,PG-13,Australia,Rimfire Films,0,9/26/86,1986,97,0,0,6.5,79465,Paul Hogan,Peter Faiman,8800000,174635000,19.84488636
Highlander,Action,R,UK,Thorn EMI Screen Entertainment,0,3/7/86,1986,116,0,0,7.2,104860,Christopher Lambert,Russell Mulcahy,16000000,5900000,0.36875
Lucas,Comedy,PG-13,USA,Twentieth Century Fox Film Corporation,1,3/28/86,1986,100,0,0,6.8,12228,Corey Haim,David Seltzer,6000000,8200000,1.366666667
Big Trouble in Little China,Action,PG-13,USA,Twentieth Century Fox Film Corporation,1,7/2/86,1986,99,0,0,7.3,101678,Kurt Russell,John Carpenter,25000000,11100000,0.444
Manhunter,Crime,R,USA,De Laurentiis Entertainment Group (DEG),0,8/15/86,1986,120,0,0,7.2,54000,William Petersen,Michael Mann,15000000,8620929,0.5747286
9½ Weeks,Drama,R,USA,Producers Sales Organization (PSO),0,2/21/86,1986,117,0,0,5.9,31798,Mickey Rourke,Adrian Lyne,17000000,6734844,0.396167294
Maximum Overdrive,Action,R,USA,De Laurentiis Entertainment Group (DEG),0,7/25/86,1986,98,0,0,5.4,24881,Emilio Estevez,Stephen King,10000000,7433663,0.7433663
Little Shop of Horrors,Comedy,PG-13,USA,"Geffen Company, The",0,12/19/86,1986,94,0,0,6.9,53327,Rick Moranis,Frank Oz,25000000,38747385,1.5498954
The Wraith,Action,PG-13,USA,New Century Entertainment Corporation,0,11/21/86,1986,93,0,0,5.9,11635,Charlie Sheen,Mike Marvin,2700000,3500000,1.296296296
Howard the Duck,Action,PG,USA,Universal Pictures,1,8/1/86,1986,110,0,0,4.6,36020,Lea Thompson,Willard Huyck,35000000,16295774,0.465593543
Critters,Action,PG-13,USA,New Line Cinema,0,4/11/86,1986,82,0,0,6,25517,Dee Wallace,Stephen Herek,2000000,13167232,6.583616
Back to School,Comedy,PG-13,USA,Orion Pictures,0,6/13/86,1986,96,0,0,6.6,23120,Rodney Dangerfield,Alan Metter,11000000,91258000,8.296181818
The Texas Chainsaw Massacre 2,Comedy,UNRATED,USA,Cannon Films,0,8/22/86,1986,89,0,0,5.6,21253,Dennis Hopper,Tobe Hooper,4700000,8025872,1.70763234
Heartbreak Ridge,Action,R,USA,Jay Weston Productions,0,12/5/86,1986,130,1,0,6.8,32954,Clint Eastwood,Clint Eastwood,15000000,42724017,2.8482678
Star Trek IV: The Voyage Home,Adventure,PG,USA,Paramount Pictures,1,11/26/86,1986,119,0,0,7.3,66366,William Shatner,Leonard Nimoy,25000000,109713132,4.38852528
Short Circuit,Comedy,PG,USA,TriStar Pictures,0,5/9/86,1986,98,0,0,6.6,47068,Ally Sheedy,John Badham,0,40697761,inf
The Name of the Rose,Crime,R,Italy,Neue Constantin Film,0,9/24/86,1986,130,1,0,7.8,86991,Sean Connery,Jean-Jacques Annaud,0,7153487,inf
Iron Eagle,Action,PG-13,USA,TriStar Pictures,0,1/17/86,1986,117,0,0,5.3,11304,Louis Gossett Jr.,Sidney J. Furie,0,24159872,inf
The Golden Child,Action,PG-13,USA,Paramount Pictures,1,12/12/86,1986,94,0,0,5.9,42997,Eddie Murphy,Michael Ritchie,25000000,79817937,3.19271748
River's Edge,Crime,R,USA,Hemdale,0,5/8/87,1986,99,0,0,7.1,12862,Crispin Glover,Tim Hunter,1900000,4600000,2.421052632
¡Three Amigos!,Comedy,PG,USA,L.A. Films,0,12/12/86,1986,104,0,0,6.4,57406,Steve Martin,John Landis,25000000,39246734,1.56986936
Cobra,Action,R,USA,Warner Bros.,1,5/23/86,1986,87,0,0,5.7,54851,Sylvester Stallone,George P. Cosmatos,25000000,49042224,1.96168896
Betty Blue,Drama,Not specified,France,Gaumont,0,11/7/86,1986,120,0,0,7.4,14562,Jean-Hugues Anglade,Jean-Jacques Beineix,0,2003822,inf
The Mission,Adventure,PG,UK,Warner Bros.,1,10/31/86,1986,125,1,0,7.5,47497,Robert De Niro,Roland Joffé,24500000,17218023,0.702776449
The Color of Money,Drama,R,USA,Touchstone Pictures,0,10/17/86,1986,119,0,0,7,62495,Paul Newman,Martin Scorsese,13800000,52293982,3.789418986
The Karate Kid Part II,Action,PG,USA,Columbia Pictures Corporation,1,6/20/86,1986,113,0,0,5.9,58370,Pat Morita,John G. Avildsen,0,115103979,inf
The Boy Who Could Fly,Drama,PG,USA,Lorimar Productions,0,9/26/86,1986,114,0,0,6.5,4623,Lucy Deakins,Nick Castle,0,7177431,inf
The Hitcher,Thriller,R,USA,HBO Films,0,2/21/86,1986,97,0,0,7.3,36191,Rutger Hauer,Robert Harmon,6000000,5844868,0.974144667
The Money Pit,Comedy,PG,USA,Amblin Entertainment,0,3/26/86,1986,91,0,0,6.3,41278,Tom Hanks,Richard Benjamin,10000000,37499651,3.7499651
Jason Lives: Friday the 13th Part VI,Horror,R,USA,Paramount Pictures,1,8/1/86,1986,86,0,0,5.9,28310,Thom Mathews,Tom McLoughlin,3000000,19472057,6.490685667
The Mosquito Coast,Adventure,PG,USA,The Saul Zaentz Company,0,11/26/86,1986,117,0,0,6.6,23076,Harrison Ford,Peter Weir,25000000,14302779,0.57211116
An American Tail,Animation,G,USA,Universal Pictures,1,11/21/86,1986,80,0,0,6.9,41004,Dom DeLuise,Don Bluth,0,47483002,inf
Sid and Nancy,Biography,R,UK,Initial Pictures,0,11/7/86,1986,112,0,0,7.1,25032,Gary Oldman,Alex Cox,4000000,2826523,0.70663075
King Kong Lives,Action,PG-13,USA,De Laurentiis Entertainment Group (DEG),0,12/19/86,1986,105,0,0,3.8,4401,Brian Kerwin,John Guillermin,10000000,4711220,0.471122
From Beyond,Horror,R,USA,Empire Pictures,0,10/24/86,1986,86,0,0,6.7,16636,Jeffrey Combs,Stuart Gordon,4500000,1261000,0.280222222
Peggy Sue Got Married,Comedy,PG-13,USA,TriStar Pictures,0,10/10/86,1986,103,0,0,6.3,28529,Kathleen Turner,Francis Ford Coppola,18000000,41382841,2.299046722
Poltergeist II: The Other Side,Horror,PG-13,USA,Freddie Fields Productions,0,5/23/86,1986,91,0,0,5.7,20669,JoBeth Williams,Brian Gibson,19000000,40996665,2.157719211
Troll,Comedy,PG-13,USA,Empire Pictures,0,1/17/86,1986,82,0,0,4.3,7569,Michael Moriarty,John Carl Buechler,1100000,5450815,4.955286364
Running Scared,Action,R,USA,Metro-Goldwyn-Mayer (MGM),0,6/27/86,1986,107,0,0,6.5,9344,Gregory Hines,Peter Hyams,0,38500726,inf
Wildcats,Comedy,R,USA,Hawn / Sylbert Movie Company,0,2/14/86,1986,106,0,0,5.9,10239,Goldie Hawn,Michael Ritchie,0,26285544,inf
Henry: Portrait of a Serial Killer,Biography,UNRATED,USA,Maljack Productions,0,9/7/90,1986,83,0,0,7,25367,Michael Rooker,John McNaughton,111000,609939,5.494945946
SpaceCamp,Adventure,PG,USA,ABC Motion Pictures,0,6/6/86,1986,107,0,0,5.6,11484,Kate Capshaw,Harry Winer,18000000,9697739,0.538763278
Hannah and Her Sisters,Comedy,PG-13,USA,Orion Pictures,0,3/14/86,1986,107,0,0,8,56988,Mia Farrow,Woody Allen,6400000,40084041,6.263131406
The Great Mouse Detective,Animation,G,USA,Walt Disney Pictures,1,7/2/86,1986,74,0,1,7.2,36539,Vincent Price,Ron Clements,14000000,38600000,2.757142857
Raw Deal,Action,R,USA,De Laurentiis Entertainment Group (DEG),0,6/6/86,1986,106,0,0,5.5,24851,Arnold Schwarzenegger,John Irvin,8500000,16209459,1.906995176
The Transformers: The Movie,Animation,PG,USA,Sunbow Productions,0,8/8/86,1986,84,0,0,7.3,33609,Orson Welles,Nelson Shin,6000000,5849647,0.974941167
Rad,Drama,PG,USA,TaliaFilm II Productions,0,3/28/86,1986,91,0,0,7.2,4039,Bart Conner,Hal Needham,0,2015882,inf
Night of the Creeps,Comedy,R,USA,TriStar Pictures,0,8/22/86,1986,88,0,0,6.8,16077,Jason Lively,Fred Dekker,5000000,591366,0.1182732
Invaders from Mars,Horror,PG,USA,Cannon Pictures,0,6/6/86,1986,100,0,0,5.5,5878,Karen Black,Tobe Hooper,12000000,4884663,0.40705525
Crossroads,Drama,R,USA,Columbia Pictures Corporation,1,3/14/86,1986,99,0,0,7.1,11415,Ralph Macchio,Walter Hill,0,5839031,inf
Hoosiers,Drama,PG,UK,De Haven Productions,0,2/27/87,1986,114,0,0,7.6,36604,Gene Hackman,David Anspaugh,6000000,28607524,4.767920667
Sacrifice,Drama,PG,Sweden,Svenska Filminstitutet (SFI),0,1986-11,1986,149,1,0,8.1,16571,Erland Josephson,Andrei Tarkovsky,0,300653,inf
At Close Range,Crime,R,USA,Cinema '85,0,4/18/86,1986,111,0,0,7,11607,Sean Penn,James Foley,6500000,2347000,0.361076923
Youngblood,Drama,R,USA,Blueline Productions,0,1/31/86,1986,110,0,0,6.1,10412,Rob Lowe,Peter Markle,0,15448384,inf
"No Retreat, No Surrender",Action,PG,USA,Seasonal Film Corporation,0,5/2/86,1986,85,0,0,5.6,12803,Kurt McKinney,Corey Yuen,0,4662137,inf
Psicosis III,Horror,R,USA,Universal Pictures,1,7/2/86,1986,93,0,0,5.3,10022,Anthony Perkins,Anthony Perkins,0,14481606,inf
Heartburn,Comedy,R,USA,Paramount Pictures,1,7/25/86,1986,108,0,0,6.1,7570,Meryl Streep,Mike Nichols,20000000,25314289,1.26571445
The Clan of the Cave Bear,Adventure,R,USA,Warner Bros.,1,1/17/86,1986,98,0,0,5.3,5340,Daryl Hannah,Michael Chapman,15000000,1953732,0.1302488
The Delta Force,Action,R,USA,Golan-Globus Productions,0,2/14/86,1986,125,1,0,5.6,15819,Chuck Norris,Menahem Golan,12000000,17768900,1.480741667
Deadly Friend,Drama,R,USA,Warner Bros.,1,10/10/86,1986,91,0,0,5.5,5419,Matthew Labyorteaux,Wes Craven,0,8988731,inf
About Last Night...,Comedy,R,USA,TriStar Pictures,0,7/2/86,1986,113,0,0,6.2,12307,Rob Lowe,Edward Zwick,0,38702310,inf
Soul Man,Comedy,PG-13,USA,Balcor Film Investors,0,10/24/86,1986,104,0,0,5.2,6440,C. Thomas Howell,Steve Miner,0,27820000,inf
One Crazy Summer,Comedy,PG,USA,A&M; Films,0,8/8/86,1986,93,0,0,6.4,11581,John Cusack,Savage Steve Holland,0,13431806,inf
Trick or Treat,Comedy,R,USA,De Laurentiis Entertainment Group (DEG),0,10/24/86,1986,98,0,0,5.8,4585,Marc Price,Charles Martin Smith,0,6797218,inf
Gung Ho,Comedy,PG-13,USA,Paramount Pictures,1,3/14/86,1986,112,0,0,6.2,9965,Michael Keaton,Ron Howard,18000000,36611610,2.033978333
The Morning After,Crime,R,USA,American Filmworks,0,12/25/86,1986,103,0,0,6,4943,Jane Fonda,Sidney Lumet,0,25147055,inf
Police Academy 3: Back in Training,Comedy,PG,USA,Police Academy Productions,0,3/21/86,1986,83,0,0,5.2,35443,Steve Guttenberg,Jerry Paris,0,43579163,inf
She's Gotta Have It,Comedy,R,USA,40 Acres & A Mule Filmworks,0,8/8/86,1986,84,0,0,6.6,5257,Tracy Camilla Johns,Spike Lee,175000,7137502,40.78572571
Ruthless People,Comedy,R,USA,Touchstone Pictures,0,6/27/86,1986,93,0,0,6.9,22554,Bette Midler,Jim Abrahams,0,71624879,inf
Band of the Hand,Action,R,USA,Delphi V Productions,0,4/11/86,1986,109,0,0,6.3,2297,Stephen Lang,Paul Michael Glaser,8700000,4865912,0.55930023
52 Pick-Up,Crime,R,USA,Cannon Group,0,11/7/86,1986,110,0,0,6.4,3866,Roy Scheider,John Frankenheimer,0,5186646,inf
Children of a Lesser God,Drama,R,USA,Paramount Pictures,1,10/31/86,1986,119,0,0,7.2,12538,William Hurt,Randa Haines,0,31853080,inf
Armed and Dangerous,Action,PG-13,USA,Columbia Pictures Corporation,1,8/15/86,1986,88,0,0,5.6,9040,John Candy,Mark L. Lester,12000000,15945534,1.3287945
Down by Law,Comedy,R,USA,Black Snake,0,10/30/86,1986,107,0,0,7.8,39456,Tom Waits,Jim Jarmusch,1100000,1436000,1.305454545
F/X,Action,R,USA,Orion Pictures,0,2/7/86,1986,109,0,0,6.7,14502,Bryan Brown,Robert Mandel,10000000,20603715,2.0603715
The Adventures of Milo and Otis,Adventure,G,Japan,Fuji Television Network,0,8/25/89,1986,90,0,0,7.1,9178,Kyôko Koizumi,Masanori Hata,0,13245219,inf
Something Wild,Comedy,R,USA,Religioso Primitiva,0,11/7/86,1986,114,0,0,6.9,13186,Jeff Daniels,Jonathan Demme,0,8362969,inf
The Manhattan Project,Sci-Fi,PG-13,USA,Gladden Entertainment,0,6/13/86,1986,117,0,0,6.1,4666,John Lithgow,Marshall Brickman,18000000,3900000,0.216666667
April Fool's Day,Horror,R,USA,Paramount Pictures,1,3/28/86,1986,89,0,0,6.2,11458,Deborah Foreman,Fred Walton,5000000,12947763,2.5895526
Solarbabies,Action,PG-13,USA,Brooksfilms,0,11/26/86,1986,94,0,0,4.8,3397,Richard Jordan,Alan Johnson,25000000,1579260,0.0631704
The Big Easy,Comedy,R,USA,Kings Road Entertainment,0,8/28/87,1986,102,0,0,6.6,10022,Dennis Quaid,Jim McBride,0,17685307,inf
Jumpin' Jack Flash,Comedy,R,USA,Lawrence Gordon Productions,0,10/10/86,1986,105,0,0,5.8,15703,Whoopi Goldberg,Penny Marshall,0,25587804,inf
Piratas,Adventure,PG-13,France,Carthago Films S.a.r.l.,0,7/18/86,1986,121,1,0,6.1,6596,Walter Matthau,Roman Polanski,40000000,1641825,0.041045625
When the Wind Blows,Animation,Not specified,UK,Meltdown Productions,0,3/11/88,1986,80,0,0,7.8,7900,Peggy Ashcroft,Jimmy T. Murakami,0,5274,inf
Tough Guys,Comedy,PG,USA,Touchstone Pictures,0,10/3/86,1986,104,0,0,6.2,5584,Burt Lancaster,Jeff Kanew,10000000,21458229,2.1458229
Matador,Drama,NC-17,Spain,Compañía Iberoamericana de TV,0,3/7/86,1986,110,0,0,7,8959,Assumpta Serna,Pedro Almodóvar,0,206952,inf
Black Moon Rising,Action,R,USA,New World Pictures,0,1/10/86,1986,100,0,0,5.4,4045,Tommy Lee Jones,Harley Cokeliss,0,6637565,inf
The Best of Times,Comedy,PG-13,USA,Cinema Group Ventures,0,1/31/86,1986,104,0,0,5.9,5523,Robin Williams,Roger Spottiswoode,12000000,7790931,0.64924425
Witchboard,Horror,R,UK,Paragon Arts International,0,3/13/87,1986,98,0,0,5.7,4744,Todd Allen,Kevin Tenney,2000000,7369373,3.6846865
Down and Out in Beverly Hills,Comedy,R,USA,Touchstone Pictures,0,1/31/86,1986,103,0,0,6.1,13569,Nick Nolte,Paul Mazursky,14000000,62134225,4.438158929
Lady Jane,Biography,PG-13,UK,Capital Equipment Leasing,0,2/7/86,1986,136,1,0,7.2,5364,Helena Bonham Carter,Trevor Nunn,8500000,277646,0.032664235
Quicksilver,Crime,PG,USA,Columbia Pictures Corporation,1,2/14/86,1986,105,0,0,5.6,3720,Kevin Bacon,Thomas Michael Donnelly,0,7634909,inf
My Little Pony: The Movie,Animation,G,USA,Sunbow Productions,0,6/6/86,1986,86,0,0,6,2125,Danny DeVito,Mike Joens,0,5958456,inf
Gothic,Horror,R,UK,Virgin Vision,0,4/10/87,1986,87,0,0,5.7,5843,Gabriel Byrne,Ken Russell,0,916172,inf
8 Million Ways to Die,Action,R,USA,Producers Sales Organization (PSO),0,4/25/86,1986,115,0,0,5.7,3607,Jeff Bridges,Hal Ashby,18000000,1305114,0.072506333
No Mercy,Crime,R,USA,TriStar Pictures,0,12/19/86,1986,106,0,0,5.7,5564,Richard Gere,Richard Pearce,0,12303904,inf
Haunted Honeymoon,Comedy,PG,USA,Orion Pictures,0,7/25/86,1986,82,0,0,5.6,5549,Gene Wilder,Gene Wilder,0,8033397,inf
TerrorVision,Comedy,R,USA,Empire Pictures,0,2/14/86,1986,83,0,0,5.7,4620,Diane Franklin,Ted Nicolaou,0,320256,inf
Allan Quatermain and the Lost City of Gold,Action,PG,USA,Golan-Globus Productions,0,1/30/87,1986,99,0,0,4.4,7491,Richard Chamberlain,Gary Nelson,0,3751699,inf
Mona Lisa,Crime,R,UK,HandMade Films,0,6/13/86,1986,104,0,0,7.4,10747,Bob Hoskins,Neil Jordan,0,5794184,inf
Nothing in Common,Comedy,PG,USA,Delphi Films,0,7/30/86,1986,118,0,0,5.9,5345,Tom Hanks,Garry Marshall,0,32324557,inf
Firewalker,Action,PG,USA,Cannon Group,0,11/21/86,1986,104,0,0,5,4752,Chuck Norris,J. Lee Thompson,8000000,11834302,1.47928775
Castaway,Adventure,R,UK,Cannon Screen Entertainment,0,9/11/87,1986,117,0,0,6,2649,Oliver Reed,Nicolas Roeg,0,483460,inf
Vamp,Comedy,R,USA,Amaretto Films,0,7/18/86,1986,93,0,0,5.9,3909,Chris Makepeace,Richard Wenk,3300000,4941117,1.497308182
Caravaggio,Biography,Not specified,UK,British Film Institute (BFI),0,8/29/86,1986,93,0,0,6.7,4072,Noam Almaz,Derek Jarman,0,3151,inf
Mauvais Sang,Crime,UNRATED,France,Les Films Plain Chant,0,11/26/86,1986,116,0,0,7.3,4922,Michel Piccoli,Leos Carax,0,21483,inf
Fire with Fire,Drama,PG-13,USA,Paramount Pictures,1,5/9/86,1986,103,0,0,6.6,1264,Craig Sheffer,Duncan Gibbins,0,4636169,inf
Club Paradise,Comedy,PG-13,USA,Warner Bros.,1,7/11/86,1986,96,0,0,4.9,5049,Robin Williams,Harold Ramis,15000000,12308521,0.820568067
Legal Eagles,Comedy,PG,USA,Universal Pictures,1,6/20/86,1986,116,0,0,5.9,8374,Robert Redford,Ivan Reitman,40000000,49851591,1.246289775
Clockwise,Comedy,PG,UK,Thorn EMI Screen Entertainment,0,10/10/86,1986,96,0,0,6.6,9689,John Cleese,Christopher Morahan,0,1476356,inf
Extremities,Drama,R,USA,Atlantic Entertainment Group,0,8/22/86,1986,89,0,0,6.3,2705,Farrah Fawcett,Robert M. Young,0,13418091,inf
Wise Guys,Comedy,R,USA,Metro-Goldwyn-Mayer (MGM),0,4/18/86,1986,100,0,0,5.6,4573,Danny DeVito,Brian De Palma,13000000,8475466,0.651958923
The Men's Club,Drama,R,USA,Atlantic Entertainment Group,0,9/19/86,1986,101,0,0,4.5,680,David Dukes,Peter Medak,0,2444076,inf
Jean de Florette,Drama,PG,Switzerland,DD Productions,0,8/28/87,1986,120,0,0,8.1,20914,Yves Montand,Claude Berri,0,4940939,inf
Reform School Girls,Drama,R,USA,Balcor Film Investors,0,8/22/86,1986,94,0,0,5.2,1717,Linda Carol,Tom DeSimone,0,2510433,inf
Manon of the Spring,Drama,PG,Switzerland,DD Productions,0,12/4/87,1986,113,0,0,8,17849,Yves Montand,Claude Berri,0,3940542,inf
Shanghai Surprise,Adventure,PG-13,UK,HandMade Films,0,8/29/86,1986,97,0,0,3.1,4339,Sean Penn,Jim Goddard,17000000,2315683,0.136216647
Power,Drama,R,USA,Lorimar Productions,0,1/31/86,1986,111,0,0,5.7,2287,Richard Gere,Sidney Lumet,16000000,3800000,0.2375
Modern Girls,Comedy,PG-13,USA,Not specified,0,11/7/86,1986,84,0,0,5.9,1023,Daphne Zuniga,Jerry Kramer,0,604849,inf
Crimes of the Heart,Comedy,PG-13,USA,De Laurentiis Entertainment Group (DEG),0,1/23/87,1986,105,0,0,6.4,3079,Diane Keaton,Bruce Beresford,20000000,22905500,1.145275
Nomads,Horror,R,USA,Cinema VII,0,3/7/86,1986,91,0,0,5.5,3006,Lesley-Anne Down,John McTiernan,0,2278264,inf
Eliminators,Action,PG,USA,Empire Pictures,0,1/31/86,1986,96,0,0,4.5,1422,Andrew Prine,Peter Manoogian,0,4601256,inf
Meatballs III: Summer Job,Comedy,R,Canada,TMS Pictures,0,1/9/87,1986,96,0,0,3.3,2003,Sally Kellerman,George Mendeluk,0,2147228,inf
Murphy's Law,Action,R,USA,Golan-Globus Productions,0,4/18/86,1986,100,0,0,5.9,3561,Charles Bronson,J. Lee Thompson,6000000,9947631,1.6579385
True Stories,Musical,PG,USA,Edward R. Pressman Film,0,10/10/86,1986,90,0,0,7,3885,David Byrne,David Byrne,0,2545142,inf
Under the Cherry Moon,Comedy,PG-13,USA,Warner Bros.,1,7/2/86,1986,98,0,0,4.9,2549,Prince,Prince,0,10090429,inf
Every Time We Say Goodbye,Drama,PG-13,Israel,Delphi V Productions,0,11/14/86,1986,95,0,0,5.9,1834,Tom Hanks,Moshé Mizrahi,0,278623,inf
Absolute Beginners,Drama,PG-13,UK,Goldcrest Films International,0,4/18/86,1986,108,0,0,5.6,2659,Patsy Kensit,Julien Temple,0,930211,inf
'Round Midnight,Drama,R,USA,Little Bear,0,10/3/86,1986,133,1,0,7.4,4028,Dexter Gordon,Bertrand Tavernier,0,3272600,inf
Avenging Force,Action,R,USA,"Cannon Group, The",0,9/12/86,1986,104,0,0,5.9,1808,Michael Dudikoff,Sam Firstenberg,4000000,4679650,1.1699125
Bullies,Action,R,Canada,Simcom Limited,0,8/29/86,1986,96,0,0,5.4,340,Jonathan Crombie,Paul Lynch,0,2995527,inf
Biggles: Adventures in Time,Adventure,PG,UK,Compact Yellowbill,0,1/29/88,1986,88,0,0,5.8,2243,Neil Dickson,John Hough,0,112132,inf
American Anthem,Drama,PG-13,USA,Lorimar Productions,0,6/27/86,1986,102,0,0,4,1284,Mitchell Gaylord,Albert Magnoli,0,4845724,inf
Out of Bounds,Action,R,USA,Columbia Pictures Corporation,1,7/25/86,1986,93,0,0,5.4,1016,Anthony Michael Hall,Richard Tuggle,0,5099316,inf
My Chauffeur,Comedy,R,USA,Crown International Pictures,0,1/24/86,1986,97,0,0,5.6,1426,Deborah Foreman,David Beaird,0,4781448,inf
Brighton Beach Memoirs,Comedy,PG-13,USA,Rastar Pictures,0,12/25/86,1986,108,0,0,6.9,2720,Blythe Danner,Gene Saks,18000000,11957943,0.664330167
Summer,Drama,R,France,Ministère de la Culture et de la Communication,0,8/29/86,1986,98,0,0,7.8,4612,Marie Rivière,Éric Rohmer,0,37455,inf
The Naked Cage,Drama,R,USA,Cannon Group,0,3/7/86,1986,97,0,0,5.5,327,Shari Shattuck,Paul Nicholas,0,3136701,inf
Link,Horror,R,UK,Cannon Screen Entertainment,0,9/19/86,1986,100,0,0,5.9,2080,Terence Stamp,Richard Franklin,0,1720450,inf
Half Moon Street,Thriller,R,UK,Edward R. Pressman Film,0,9/26/86,1986,90,0,0,5.4,2157,Sigourney Weaver,Bob Swaim,0,1131399,inf
"'night, Mother",Drama,PG-13,USA,Aaron Spelling Productions,0,1/29/87,1986,96,0,0,7.6,1840,Sissy Spacek,Tom Moore,0,441863,inf
A Fine Mess,Action,PG,USA,Blake Edwards,0,8/8/86,1986,90,0,0,4.5,1164,Ted Danson,Blake Edwards,0,6029824,inf
Hardbodies 2,Comedy,R,USA,Chroma III Productions,0,9/12/86,1986,88,0,0,2.9,895,James Karen,Mark Griffiths,0,78068,inf
The Assault,Drama,PG,Netherlands,Fons Rademakers Produktie,0,2/6/86,1986,155,1,0,7.3,2694,Derek de Lint,Fons Rademakers,0,203781,inf
Willy/Milly,Comedy,PG-13,USA,Griffon Productions,0,11/14/86,1986,86,0,0,5.7,323,Pamela Adlon,Paul Schneider,0,277405,inf
The Ladies Club,Drama,R,USA,Heron Communications,0,1986-04,1986,85,0,0,5.3,154,Karen Austin,Janet Greek,0,239073,inf
Let's Get Harry,Action,R,USA,Delphi V Productions,0,10/31/86,1986,102,0,0,5.2,978,Michael Schoeffling,Stuart Rosenberg,0,140980,inf
Tai-Pan,Adventure,R,USA,De Laurentiis Entertainment Group (DEG),0,11/7/86,1986,127,1,0,5.5,1340,Bryan Brown,Daryl Duke,25000000,4007250,0.16029
Deadtime Stories,Comedy,R,USA,Scary Stuff,0,11/28/86,1986,93,0,0,4.6,973,Scott Valentine,Jeffrey Delman,0,2750741,inf
Heat,Action,R,USA,Escalante Productions,0,3/13/87,1986,101,0,0,5.5,1358,Burt Reynolds,Dick Richards,17000000,2793214,0.164306706
Touch and Go,Comedy,R,USA,Kings Road Entertainment,0,8/22/86,1986,101,0,0,5.8,684,Michael Keaton,Robert Mandel,0,1254040,inf
The Boy in Blue,Biography,R,Canada,Canadian Broadcasting Corporation (CBC),0,1/17/86,1986,100,0,0,5.4,907,Nicolas Cage,Charles Jarrott,0,275000,inf
Sweet Liberty,Comedy,PG,USA,Universal Pictures,1,5/16/86,1986,106,0,0,5.7,2300,Alan Alda,Alan Alda,0,14205021,inf
Killer Party,Comedy,R,USA,Marquis,0,5/9/86,1986,91,0,0,4.7,1265,Martin Hewitt,William Fruet,0,681337,inf
Parting Glances,Drama,Not specified,USA,Rondo Productions,0,2/19/86,1986,90,0,0,7.8,2330,John Bolger,Bill Sherwood,0,537681,inf
Care Bears Movie II: A New Generation,Animation,G,Canada,Nelvana,0,3/21/86,1986,76,0,0,5.3,1760,Maxine Miller,Dale Schott,0,8540346,inf
"Jo Jo Dancer, Your Life Is Calling",Biography,R,USA,Columbia Pictures Corporation,1,5/2/86,1986,97,0,0,6.3,1288,Richard Pryor,Richard Pryor,14000000,18034150,1.288153571
Jake Speed,Action,PG,USA,Balcor Film Investors,0,5/30/86,1986,100,0,0,5.3,632,Wayne Crawford,Andrew Lane,0,1943751,inf
Born American,Action,R,USA,Cinema Group Ventures,0,8/29/86,1986,97,0,0,4.3,1509,Mike Norris,Renny Harlin,3401376,3388020,0.996073354
Blue City,Action,R,USA,Paramount Pictures,1,5/2/86,1986,83,0,0,4.4,792,Judd Nelson,Michelle Manning,10000000,6947787,0.6947787
Malcolm,Comedy,PG-13,Australia,Cascade Films,0,11/5/86,1986,90,0,0,7.2,1623,Colin Friels,Nadia Tass,0,544472,inf
Playing for Keeps,Comedy,PG-13,USA,Miramax,0,10/3/86,1986,102,0,0,4.1,515,Daniel Jordano,Bob Weinstein,0,2669366,inf
Duet for One,Drama,R,USA,Golan-Globus Productions,0,1987-02,1986,107,0,0,7,699,Julie Andrews,Andrey Konchalovskiy,0,8736,inf
